Sentence,Idiom,NumOfWordsBetween,BetweenPOS,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG,Usage
if you be not give sufficient notice in accordance with you contract the consolidation act provide that the termination date for certain purpose will be when either,give_notice,1,['AJ0'],XX0,VBB,PRP,NN1,1,27,0.5289375,I
if nothing be agree about notice the common law imply a term into the contract that it can be bring to an end if reasonable notice be give,give_notice,0,[],VBZ,NN1,,,3,28,0.472733333,I
conversely it be possible for a dismissal which be technically in breach of contract ie a summary dismissal when notice should have be give to be fair,give_notice,2,"['TO0', 'VBI']",VBN,VHI,,,1,27,0.258357143,I
first by give notice to the chairman of the appropriate committee,give_notice,0,[],PRP,ORD,PRP,AT0,1,11,0.6132,I
midland may at it discretion change these term and condition give notice of variation in such a manner as it consider appropriate and may vary it charge and interest rate by general notice in branch,give_notice,0,[],NN2,CJC,PRF,NN1,3,35,0.342894737,I
to marry by certificate with licence either of the partner must have live in the area for 15 day ad both must be in the country when notice be give,give_notice,0,[],VBZ,NN1,,,2,30,0.600315789,I
a member simply give notice and eventually move that the bill be read a first time,give_notice,0,[],AV0,NN1,CJC,AV0,2,16,0.2928,I
she be give she notice to leave take a living-in job in skipton,give_notice,1,['DPS'],VBZ,PNP,TO0,VVI,1,13,0.500428571,I
the ministry of defence confirm last night that the army have finally lose patience and give he a month 's notice to quit,give_notice,4,"['PNP', 'AT0', 'NN1', 'POS']",CJC,NN1,TO0,VVI,1,23,0.214764706,I
the union be inform that a collective agreement which as usual be not bind between the company and the nuj be to be terminate on 1 april 1990 and the company give the union proper notice,give_notice,3,"['AT0', 'NN1', 'AJ0']",NN1,AT0,,,1,36,0.54945,I
by 1988 people be often give only six hour ' notice sometimes less of the imminence of they removal to new home and the destruction of they old one,give_notice,4,"['AV0', 'CRD', 'NN2', 'POS']",AV0,VBD,AV0,AV0,2,29,0.195666667,I
humberside heavy haulage depot manager frank fairbrother propose to give peter a week 's notice and a terminal bonus of ï¿½ï¿½ï,give_notice,4,"['NP0', 'AT0', 'NN1', 'POS']",TO0,VVZ,CJC,AT0,1,21,0.326,I
mrs gerard the old housekeeper have give notice,give_notice,0,[],VHD,NN1,,,1,8,0.410833333,I
the nordic ski touring community in scotland be a friendly one and angela give notice of this in she book when she acknowledge a healthy exchange of information between skier from all over the country,give_notice,0,[],NP0,CJC,PRF,DT0,1,35,0.3315,I
mr o'connor 's management decide it would be in the good interest of all concerned for the event to be postpone give the theatre management seven day ' notice enable ticket holder to be contact,give_notice,6,"['AT0', 'NN1', 'NN1', 'CRD', 'NN2', 'POS']",VVN,VBI,VVG-AJ0,NN1,1,35,0.411846154,I
when view school to decide which be most suitable it be again necessary to give adequate notice,give_notice,1,['AJ0'],TO0,AJ0,,,4,17,0.599545455,I
this usually require the tenant to give sixty or ninety day ' notice sometimes after an agreed minimum period of four to six month,give_notice,5,"['CRD', 'CJC', 'CRD', 'NN2', 'POS']",TO0,NN1,AV0,PRP,1,24,0.4571875,I
this lending ceiling be reinforce by a far statement by the bank in november 1968 which give the bank four month ' notice to reduce they lending to 98 per cent of the mid november 1967 level,give_notice,5,"['AT0', 'NN2', 'CRD', 'NN2', 'POS']",DTQ,CRD,TO0,VVI,1,37,0.2705,I
he would stand or fall by he policy and to prove it he give one year 's notice of he resignation,give_notice,3,"['CRD', 'NN1', 'POS']",PNP,PNP,PRF,DPS,1,21,0.058909091,I
the notice can be give either by the central authority or to save time directly by the competent authority,give_notice,13,"['AV0', 'PRP', 'AT0', 'AJ0', 'NN1', 'CJC', 'TO0', 'VVI', 'NN1', 'AV0', 'PRP', 'AT0', 'AJ0']",VBI,VM0,,,2,19,0.733,I
when you sign up for a saving scheme check the clause for give notice,give_notice,0,[],PRP,NN2,,,1,14,0.498,I
you can not be informal when give notice of dismissal or redundancy or if you be write a letter of condolence or complaint,give_notice,0,[],CJS,AJ0,PRF,NN1,1,23,0.1817,I
people wish to collect semen or inseminate goat or vet wish to transfer embryo must be in possession of current licence from the bgs and must give requisite prior notice to the bgs office of they plan,give_notice,2,"['AJ0', 'AJ0-AV0']",VM0,CJC,PRP,AT0,1,37,0.385461538,I
when the employer refuse the claim a largely-attended meeting of the man unanimously decide to harden they line ask for an increase in the stab rate and to tender notice i. e. to give notice of a strike on 1 november,give_notice,0,[],TO0,ZZ0,PRF,AT0,2,41,0.469148148,I
on 2 november 800 employee inclusive of apprentice journeyman reader and man in position of trust give two week notice and the strike begin on 15 november,give_notice,2,"['CRD', 'NN2']",NN1,PRF,CJC,AT0,1,27,0.333166667,I
by section 11 of the public order act 1986 anyone organise a march must give the police six day notice otherwise he may commit an offence,give_notice,4,"['AT0', 'NN2', 'CRD', 'NN2']",VM0,NN1,AV0,PNP,4,26,0.599142857,I
notice be give to the landlord in writing,give_notice,4,"['PRP', 'AT0', 'NN1', 'PRP']",VBZ,NN1-VVB,,,1,8,0.403833333,I
if during the three-month period after notice have be give by the tenant the landlord lodge an objection to the proposed alteration the tenant may apply to the county court or high court depend on the value of the property for a certificate authorize the alteration,give_notice,35,"['PRP', 'AT0', 'NN1', 'AT0', 'NN1', 'VVZ', 'AT0', 'NN1', 'PRP', 'AT0', 'AJ0', 'NN2', 'AT0', 'NN1', 'VM0', 'VVI', 'PRP', 'AT0', 'NN1', 'NN1', 'CJC', 'AJ0', 'NN1', 'VVG', 'PRP', 'AT0', 'NN1', 'PRF', 'AT0', 'NN1', 'PRP', 'AT0', 'NN1', 'VVG', 'AT0']",VBN,VHZ,,,1,46,0.520151515,I
the court of appeal hold that the term be not uncertain because the vendor could either give a quarter 's notice or vacate the property without give notice,give_notice,0,[],PRP,NN1,,,2,28,0.469111111,I
in i judgment therefore the exercise of he discretion be vitiate on the additional ground that by fail to require that the mother be give notice of the foster mother 's application he be deprive of material which be necessary for the proper exercise of he discretion,give_notice,0,[],VBB,NN1,PRF,AT0,2,47,0.36721875,I
on 11 january 1991 norwich give three month ' notice of the termination of they agency agreement of 13 march 1990 by virtue of which winchester have become an appointed representative and hence an exempt person,give_notice,3,"['CRD', 'NN2', 'POS']",NP0,CRD,PRF,AT0,3,36,0.462944444,I
no one so far as i know have ever question such a suspension on the ground that it could not be do unless he be give notice of the charge and an opportunity of defend himself and so forth,give_notice,0,[],VBZ,PNP,PRF,AT0,1,39,0.442388889,I
the presumption that the inspector in a revenue case act intra vire when give the notice can only be displace by evidence which can not be reconcile with the inspector have the required reasonable opinion,give_notice,1,['AT0'],CJS,VVZ-NN2,VM0,AV0,1,35,0.327473684,Q
he have within 48 hour of exercise the right of detention to give notice to the police and if he know the person to whom the livestock belong to that person,give_notice,0,[],TO0,NN1,PRP,AT0,1,31,0.625666667,I
organiser fail to give notice or not comply with condition risk arrest conviction possible 3 month ' sentence or 400 fine,give_notice,0,[],TO0,VVG,CJC,XX0,1,21,0.201714286,I
assured tenant can be evict only on the authority of a court order and the landlord have to give the tenant a notice of proceeding for possession which will include a statement of the ground for possession the landlord be use,give_notice,3,"['AT0', 'NN1', 'AT0']",TO0,VHZ,PRF,NN2,1,41,0.382068966,Q
the secretary of state have power to allow a long period for the giving of a notice of appeal but he will not normally be prepared to exercise this power unless there be special circumstance which excuse the delay in give notice of appeal,give_notice,0,[],PRP,NN1,PRF,NN1,2,44,0.678903226,I
an objector who have not give the notice require by the rule be not allow to oppose confirmation when he seek to appear before the confirming authority and the licence be confirm,give_notice,1,['AT0'],XX0,VHD,VVN,PRP,2,32,0.5728,I
3 an applicant under this section shall give the notice require by part iii of schedule 2 to this act,give_notice,1,['AT0'],VM0,NN1,VVN,PRP,1,20,0.837272727,I
the procedure be by the holder of the licence or the club give notice of application of the section to the premise the notice specify the date it be intend to apply the section to the premise sub,give_notice,0,[],NN1,AT0,PRF,NN1,2,38,0.724878788,I
5 in the case of an application for the grant or provisional grant of a new licence the applicant shall not later than three week before the first day of the meeting of the board at which the application be to be consider give notice in writing of the application to every occupier of premise situate in the same building as the premise to which the application relate,give_notice,0,[],VVN,VBI,PRP,NN1,2,68,0.487313725,I
before make such an order the inland revenue must be give notice of the application of not less than twenty-eight day and if the inland revenue object it must submit a written statement of the ground and ensure that an officer of it attend court on the hearing of the application r 6.194,give_notice,0,[],VBI,VM0,PRF,AT0,1,53,0.501965517,I
in the same year the duke of norfolk give creevey notice to quit thetford receive a long but futile rebuke in return,give_notice,1,['NP0'],NP0,PRF,TO0,VVI,1,22,0.295705882,I
plaintiff will also be require to give the court notice of disposal by settlement or otherwise before that date subject to a fixed penalty for fail to give such notice which will be payable by the plaintiff 's solicitor,give_notice,1,['DT0'],TO0,VVG,DTQ,VM0,2,39,0.224041667,I
any new vein discover but leave unwrought for the space of six month after notice be give by the estate to the captain or purser of the mine could be licence to any other person to work,give_notice,19,"['PRP', 'AT0', 'NN1', 'PRP', 'AT0', 'NN1', 'CJC', 'NN1', 'PRF', 'AT0', 'NN1', 'VM0', 'VBI', 'VVN', 'PRP', 'DT0', 'AJ0', 'NN1', 'TO0']",VBD,NN1,,,1,37,0.49825,I
section 46 deal with how stoppage in transit may be effect by the seller either take actual possession of the goods or give notice of he claim to the carrier,give_notice,0,[],CJC,NN2,PRF,DPS,1,30,0.345571429,I
we be ask to reiterate that all tutor must apply for the end of module test from the n.e.c. application for the test should be accompany by the following information give three week notice or more,give_notice,2,"['CRD', 'NN2']",NN1,AJ0,CJC,AV0,1,36,0.395958333,I
that in the event of the cancellation or lapsing of any such policy whether at the request of a joint policyholder or for non-payment of premium or for any other reason the insurer will give the society write notice of the cessation of cover,give_notice,3,"['AT0', 'NN1', 'VVN-AJ0']",VM0,NN2,PRF,AT0,1,44,0.510758621,I
you may at any time cancel this policy by give we seven day notice in writing,give_notice,3,"['PNP', 'CRD', 'NN2']",PRP,NN1,PRP,NN1-VVG,1,16,0.246333333,I
once you have provide the provisional banding list on or before 1 december it have to be deposit at the council 's principal office and step take to give notice of this,give_notice,0,[],TO0,VVN,PRF,DT0,2,32,0.468823529,I
might i ask the right hon. gentleman a question about which i give notice to he office early this morning,give_notice,0,[],PNP,DTQ,PRP,DPS,1,20,0.624181818,I
do the hon. gentleman wish to give the minister notice of an adjournment debate,give_notice,2,"['AT0', 'NN1']",TO0,VVB-NN1,PRF,AT0,1,14,0.590166667,I
i be grateful to the hon. gentleman for give i notice of he question,give_notice,1,['PNP'],PRP,NN1,PRF,DPS,1,14,0.684777778,I
that be the reason why i give the prime minister prior notice of the question,give_notice,4,"['AT0', 'AJ0', 'NN1', 'AJ0']",PNP,AVQ,PRF,AT0,1,15,0.6296,I
i be not certain that the honorary colonel of the regiment be give the notice that he could expect,give_notice,1,['AT0'],VBD,NN1,CJT,PNP,1,19,0.490272727,Q
i appreciate the courtesy of the hon. member for linlithgow mr. dalyell in give notice of the detail that he want to raise,give_notice,0,[],PRP,NP0,PRF,AT0,1,23,0.622133333,I
noriega 's team of defence lawyer give notice that they intend to pursue a defence strategy base jointly on aspect of international law and on domestic us criminal procedure,give_notice,0,[],NN2,NN1,CJT,PNP,1,29,0.24755,I
pinochet who be still c.-in-c. of the army be tell by president patricio alywin Azï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½car on april 15 that in future he have to give prior notice to t,give_notice,1,['AJ0-AV0'],TO0,VHD,PRP,AT0,1,34,0.391421053,I
under the presidential ruling industry would no longer be require to give public notice of plan to make minor change to plant operation which might result in an increase of pollute emission,give_notice,1,['AJ0'],TO0,VVN,PRF,NN2,1,32,0.316708333,I
once a man know of he right it be more difficult to say that it be not reasonably practicable to give notice within a reasonable time,give_notice,0,[],TO0,AJ0,PRP,AT0,2,26,0.549533333,I
140 out of 170 employee eventually accept and after be interview 30 be give 12 week ' notice to terminate they contract,give_notice,3,"['CRD', 'NN2', 'POS']",VBD,CRD,TO0,VVI,2,22,0.322090909,I
hence i give notice of the item for co-ordinator and hope people may give some preliminary thought about it,give_notice,0,[],PNP,AV0,PRF,AT0,1,19,0.6304,I
the proposing transferor may save where a transfer notice be give or deem to be give pursuant to paragraph 7 10 of this article within seven day of receipt of such notification revoke he transfer notice provide that the proposing transferor shall in such circumstance be liable for the auditor cost in certify the prescribed price,give_notice,19,"['AJ0', 'PRP', 'NN2', 'CRD', 'CRD', 'PRF', 'DT0', 'NN1', 'PRP', 'CRD', 'NN2', 'PRF', 'NN1', 'PRF', 'DT0', 'NN1', 'VVB-NN1', 'DPS', 'NN1']",VBI,TO0,VVN,CJT,4,56,0.481526316,Q
4 if the company shall within the period limit for acceptance find a purchaser or purchaser willing to purchase all the share concerned and shall give notice in write thereof to the proposing transferor he shall be bind upon payment of the prescribed price to transfer such share to the respective purchaser thereof,give_notice,0,[],VM0,CJC,PRP,VVG,3,53,0.408945946,I
the proposing transferor may save where a transfer notice be give or deem to be give pursuant to paragraph 7 10 of this article within seven day of receipt of such notification revoke he transfer notice provide that the proposing transferor shall in such circumstance be liable for the auditor cost in certify the prescribed price,give_notice,19,"['AJ0', 'PRP', 'NN2', 'CRD', 'CRD', 'PRF', 'DT0', 'NN1', 'PRP', 'CRD', 'NN2', 'PRF', 'NN1', 'PRF', 'DT0', 'NN1', 'VVB-NN1', 'DPS', 'NN1']",VBI,TO0,VVN,CJT,4,56,0.481526316,Q
4 if the company shall within the period limit for acceptance find a purchaser or purchaser willing to purchase all the share concerned and shall give notice in write thereof to the proposing transferor he shall be bind upon payment of the prescribed price to transfer such share to the respective purchaser thereof,give_notice,0,[],VM0,CJC,PRP,VVG,3,53,0.408945946,I
subject to the statement of pension policy which will be issue to the successful candidate the appointee will be deem to be in membership of the above pension scheme until such time as he or she give notice in write to exercise the right not to be a member of the scheme,give_notice,0,[],PNP,CJC,PRP,VVG,1,52,0.646823529,I
it will be recall from chapter 3 that the partnership act provide that where no definite duration be set for the partnership any partner may retire by give he co-partner notice whereupon in the absence of any contrary agreement the firm be dissolve,give_notice,2,"['DPS', 'NN2']",PRP,VVI,CJS,PRP,1,43,0.39036,I
here they rely on the principle in the ticket case which require a reasonable attempt to give notice to a party of the existence of term and condition by which it be intend to bind he,give_notice,0,[],TO0,NN1,PRP,AT0,2,36,0.680727273,I
notice of hearing n 247 be give by the court ord 13 r 2(3),give_notice,6,"['PRP', 'AT0', 'NN1', 'NN1', 'CRD', 'ZZ0']",VBZ,CRD,,,1,14,0.6912,I
notice of such adjournment or advancement be give by the court to all party who be not present when the order be make ord 13 r 3(2) it be common practice to send notice also to those party who be present n 232,give_notice,25,"['PRP', 'AT0', 'NN1', 'PRP', 'DT0', 'NN2', 'PNQ', 'VBD', 'XX0', 'AJ0', 'CJS', 'AT0', 'NN1', 'VBD', 'VVN', 'NN1', 'CRD', 'ZZ0', 'UNC', 'PNP', 'VBZ', 'AJ0', 'NN1', 'TO0', 'VVI']",VBZ,NN1,AV0,PRP,2,43,0.477521739,I
the umpire give no notice to the party or they solicitor examine no witness but merely hear the statement of the two arbitrator and inspect the premise,give_notice,1,['AT0'],NN1,AT0,PRP,AT0,1,27,0.482904762,I
the court may grant leave on the written request alone or direct that a date be fix for hear in which case notice must be give to the applicant and other person as direct by the court fpcr r3(2) fpr r4.3(2),give_notice,14,"['PRP', 'AT0', 'NN1', 'CJC', 'AJ0', 'NN2', 'CJS', 'VVN', 'PRP', 'AT0', 'NN1', 'NP0', 'UNC', 'NP0']",VBI,VM0,,,2,41,0.418681818,I
form cha 71 should be use to give notice of proceeding to anyone who be not also a respondent,give_notice,0,[],TO0,VVN,PRF,NN2,2,19,0.468666667,I
the court may give direction or vary or revoke an existing direction at any stage in the proceeding provide that the party be give notice and an opportunity to attend and be hear or to make written representation,give_notice,0,[],VBB,NN2,CJC,AT0,2,38,0.356565217,I
the reason before that date registration on a company 's file of such a mortgage have effect as if register as a land charge thus give notice to the world,give_notice,0,[],AV0,NN1,PRP,AT0,1,30,0.511111111,I
c duty follow cancellation where notice have be give in the case of hire purchase or conditional sale transaction s72 generally place upon the debtor a legal duty to redeliver the goods subject to a lien for any part exchange goods tender by he s73(5),give_notice,35,"['PRP', 'AT0', 'NN1', 'PRF', 'NN1', 'NN1', 'CJC', 'AJ0', 'NN1', 'NN2', 'UNC', 'AV0', 'VVZ-NN2', 'PRP', 'AT0', 'NN1', 'AT0', 'AJ0', 'NN1', 'TO0', 'VVI', 'AT0', 'NN2', 'AJ0', 'PRP', 'AT0', 'NN1-AJ0', 'PRP', 'DT0', 'NN1', 'NN1', 'NN2', 'VVN', 'PRP', 'PNP']",VBN,VHZ,,,1,45,0.417275862,I
after the plaintiff have fail to complete the work by that date the defendant continue to press for delivery but on 29 june give notice that if the work be not complete within a far four week he would cancel the order,give_notice,0,[],NP0,CRD,CJT,CJS,1,42,0.318925926,I
erm and we have have i be afraid to give protective notice to six member of staff it be about er discussion with the erm tech be not successful then they will have to leave we at the end of this programme year which be the thirty-first of march,give_notice,1,['AJ0'],TO0,AJ0,PRP,CRD,1,49,0.505111111,I
suddenly they come on cos they do not give as much notice they be a pain in the bum,give_notice,2,"['AV0', 'DT0']",XX0,VDB,PNP,VBB,1,19,0.3586,I
i do not give notice leith but in have get start on the honesty trail,give_notice,0,[],XX0,VDD,NP0,VVD,2,15,0.6004,I
and andy be give half a day 's notice,give_notice,4,"['DT0', 'AT0', 'NN1', 'POS']",VBD,NP0,,,1,9,0.55825,I
and the council 's housing department be ask tenant thinking of moving-on to help they make by give early notice of when they intend to leave,give_notice,1,['AJ0'],PRP,VVI,PRF,AVQ,1,26,0.565705882,I
teesside magistrate be tell he have not enter plan with middlesbrough council have fail to give notice of work be carry out and have not make the foundation big enough or deep enough,give_notice,0,[],TO0,VVN,PRF,NN1,1,33,0.296409091,I
so in 1877 the man at the middleton iron company be give they notice though they stubbornly cling to short-time employment until 1883 when the plant be shut down completely until 1897,give_notice,1,['DPS'],VBD,NN1,CJS,PNP,1,32,0.319941176,I
sun alliance have give notice to national home loan that it be cancel it payment protection scheme at the end of the month,give_notice,0,[],VHZ,NN1,PRP,AJ0,1,23,0.4365,I
other have already give notice that they will quit the nhs altogether,give_notice,0,[],AV0,VHB,CJT,PNP,1,12,0.436,I
the company which sell a record 508 cattle through it electronic auction system europe franchise on thursday have give the necessary six month notice to the franchise-holding anm group aberdeen,give_notice,4,"['AT0', 'AJ0', 'CRD', 'NN2']",VHZ,NP0,PRP,AT0,1,30,0.390333333,I
the new bill which go before parliament on november 16 say union will also have to give written notice to employer of every worker who will be call on to take industrial action,give_notice,1,['AJ0'],TO0,VHI,PRP,NN2,1,33,0.416761905,I
give notice of the,give_notice,0,[],,PRF,PRF,AT0,1,4,0.8465,Q
no i have be here more than five year so they will have to give i five week 's notice,give_notice,4,"['PNP', 'CRD', 'NN1', 'POS']",TO0,VHI,,,2,20,0.237444444,I
well i have get to give they forty eight hour notice,give_notice,4,"['PNP', 'CRD', 'CRD', 'NN2']",TO0,VVN,,,1,11,0.578625,I
before declare a dividend the trustee must give notice of he intention to do so to all creditor of whom he be aware or who be identify in the statement of affair who have not prove they debt r 11.2(1) and advertise he intention to declare a dividend unless he have previously invite creditor by advertisement to prove they debt r 11.2(1a),give_notice,0,[],VM0,NN1,PRF,DPS,3,62,0.415371429,I
in any proceed in which no pre-trial review have be fix the district judge may nonetheless give notice to the party require they to appear before he on the day name in the notice so that the question of give direction may be consider ord 17 rr 10 and 11(4),give_notice,0,[],AV0,VM0,PRP,AT0,3,50,0.631785714,I
the strike out be automatic as compare with ord 13 r 3(4) where the court have to give notice of intention to strike out where no action have be take for 12 month,give_notice,0,[],TO0,VHZ,PRF,NN1,2,33,0.22447619,I
you be give i the sack sir she say with contempt,give_sack,2,"['PNP', 'AT0']",VBB,PNP,NN1,PNP,1,11,0.269166667,Q
the bank can not have believe he they give he the sack,give_sack,2,"['PNP', 'AT0']",PNP,PNP,,,1,12,0.528,Q
he come back two week later say that he have be give the sack,give_sack,1,['AT0'],VBN,VHZ,,,1,14,0.353333333,I
it go to he head and the superintendent be terror and they could get rid of a man give he the sack like slap on they wrist,give_sack,2,"['PNP', 'AT0']",NN1,AT0,PRP,NN1,1,27,0.349928571,I
because mean mr love he will give you the sack he will,give_sack,2,"['PNP', 'AT0']",VM0,PNP,PNP,VM0,1,12,0.6704,I
also give you the sack,give_sack,2,"['PNP', 'AT0']",AV0,,,,1,5,0.588666667,Q
ricky be so furious with perdita for deliberately sabotage she scholarship that he give she the sack,give_sack,2,"['PNP', 'AT0']",PNP,CJT,,,1,17,0.168625,I
find a new childcarer be so traumatic that 80% of the mother survey admit they do not have the courage to give an inadequate nanny the sack immediately 60% of those who be unhappy carry on with they carer for a month and 35% for up to six month,give_sack,4,"['AT0', 'AJ0', 'NN1', 'AT0']",TO0,NN1,AV0,NN0,1,49,0.288466667,I
graham taylor be hope that santa will not give away any goal to england 's world cup opponent or he might be give the sack,give_sack,1,['AT0'],VBI,VM0,,,1,25,0.371916667,I
i have to take time off work which do not go down too well with the furniture store which employ i and i be promptly give the sack,give_sack,1,['AT0'],AV0,VBD,,,1,28,0.500111111,I
be you give i the sack,give_sack,2,"['PNP', 'AT0']",PNP,VBB,,,1,6,0.588666667,Q
mrs bosanquet might also have mention without stretch the point too far the wonderful convenience of be able to give these troublesome boy the sack at a moment 's notice,give_sack,4,"['DT0', 'AJ0', 'NN2', 'AT0']",TO0,AJ0,PRP,AT0,1,30,0.3745,I
they give i the sack,give_sack,2,"['PNP', 'AT0']",PNP,,,,1,5,0.588666667,Q
they would give you two and a half sack as a quota for every day and if you do not manage it they do not pay you anything,give_sack,5,"['PNP', 'CRD', 'CJC', 'AT0', 'DT0']",VM0,PNP,PRP,AT0,1,28,0.414166667,L
"sybaris have be destroy by it neighbour the man of kroton in 510 bc the mid-fifth-century recovery organize by athens coincide with a attested corn-shortage in mainland greece an egyptian pharaoh in revolt from persia give athens 40,000 sack of corn in the 440s",give_sack,2,"['NP0', 'CRD']",NP0,PRP,PRF,NN1,1,44,0.35215,L
that be a note he get from the editor the other day give he the sack,give_sack,2,"['PNP', 'AT0']",NN1,AJ0,,,1,16,0.512111111,I
an he give i the sack,give_sack,2,"['PNP', 'AT0']",PNP,AT0,,,1,6,0.588666667,Q
alyssia open she mouth to give he a piece of she mind at this far show of arrogance in fact to give he the sack because he mere presence here imply that he be work for she father and so in an indirect manner for herself but he do not allow she the chance,give_sack,2,"['PNP', 'AT0']",TO0,NN1,CJS,DPS,1,54,0.435419355,I
he silence encourage she to be even more frank and look to where the moonlight catch the line of he strong jaw she say i know you appreciate the help i have give by step in to take stella 's place and for that reason i doubt that you would give i the sack or tell i to go,give_sack,2,"['PNP', 'AT0']",VM0,PNP,CJC,VVB,1,59,0.457085714,I
i have well be get back or the foreman will be give i the sack,give_sack,2,"['PNP', 'AT0']",VBI,VM0,,,1,15,0.723625,I
i have be give the sack leith tell she shakily and over coffee give she a blow-by-blow account,give_sack,1,['AT0'],VBN,VHB,NP0,VVD,1,18,0.401818182,I
you give she the sack she question quickly,give_sack,2,"['PNP', 'AT0']",PNP,,PNP,VVD,2,8,0.539,Q
i would say condition be a wee bit easier a wee bit you have a wee bit more freedom because they know they could not replace anybody if they give the sack,give_sack,1,['AT0'],PNP,CJS,,,2,32,0.55775,I
and if they do give you the sack you would be walk away to the army i expect,give_sack,2,"['PNP', 'AT0']",VDD,PNP,PNP,VM0,2,18,0.2556,I
would give she the sack,give_sack,2,"['PNP', 'AT0']",VM0,,,,1,5,0.588666667,Q
so i go in and tell they and they have give i wrong sack,give_sack,2,"['PNP', 'AJ0']",VHD,PNP,,,1,14,0.255571429,L
give you the sack just like that,give_sack,2,"['PNP', 'AT0']",,PRP,AV0,PRP,1,7,0.47025,Q
the middle of the month arrive with you really have a fling,have_fling,1,['AT0'],AV0,PNP,,,1,12,0.45775,I
he have have he little fling,have_fling,2,"['DPS', 'AJ0']",VHZ,PNP,,,1,6,0.195333333,I
but plenty of people think it the height of irresponsibility to allocate ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,have_fling,1,['AT0'],PRP,CRD,,,1,18,0.47825,I
in 1880 he have have a political fling and stand as a liberal candidate for the city of london in favour of disestablishment temperance legislation social and political reform,have_fling,2,"['AT0', 'AJ0']",VHD,PNP,CJC,VVD,1,29,0.412894737,I
an errand boy must have he fling you know,have_fling,1,['DPS'],VM0,NN1,PNP,VVB,1,9,0.38275,I
first however we have to let the birthday boy have he fling,have_fling,1,['DPS'],NN1,NN1,,,1,12,0.6105,I
i think it be he birthday party so he have a fling,have_fling,1,['AT0'],PNP,CJS,,,1,12,0.8035,I
everyone claim to know some young stud who have a fling with cindy before she leave dekalb but none can produce name,have_fling,1,['AT0'],PNQ,NN1,PRP,NP0,1,22,0.3599,I
former us open winner gabriela 22 have a brief fling with french tennis heart-throb henri leconte,have_fling,2,"['AT0', 'AJ0']",CRD,NP0-NN1,PRP,AJ0,1,16,0.288,I
he have a real fling,have_fling,2,"['AT0', 'AJ0']",PNP,,,,1,5,0.414,I
elsewhere in the lake the tourist industry be have a last determined autumn fling but not here not in this quiet and relatively undiscovered cul-de-sac,have_fling,4,"['AT0', 'ORD', 'AJ0', 'NN1']",VBD,NN1,CJC,XX0,1,25,0.341266667,I
have a fling with barb be not faithlessness say constance who have be concentrate on this very matter for she own reason,have_fling,1,['AT0'],,DT0,PRP,NN2,1,22,0.312,I
we have have the odd fling even while she be supposed to be engage to he the night of the fire be when we start it,have_fling,2,"['AT0', 'AJ0']",VHD,PNP,AV0,CJS,1,26,0.543692308,I
she critic and they will be many will say all this be at good manufactured recollection the distorted memory of a bitter and angry woman who have she fling with a priest and have pay the price,have_fling,1,['DPS'],PNQ,NN1,PRP,AT0,1,37,0.4465,I
i have a fling with someone when i be at college but that be the only occasion,have_fling,1,['AT0'],PNP,,PRP,PNI,1,17,0.1624,I
one of the raf station schedule to closedown as a result of the peace dividend be have a final glorious fling this week,have_fling,3,"['AT0', 'AJ0', 'AJ0']",VBZ,NN1,DT0,NN1,1,23,0.452666667,I
the south west vineyard association be have it annual fling and check the competition as well,have_fling,2,"['DPS', 'AJ0']",VBD,NN1,CJC,VVG,1,16,0.462222222,I
well sex mainly and the mistaken male view that woman dream of have a wild and torrid fling in the afore-mentioned potting shed with someone who spend more time with mulch and manure than gillette shower gel,have_fling,4,"['AT0', 'AJ0', 'CJC', 'AJ0']",PRF,NN1-VVB,PRP,AT0,1,37,0.389285714,I
to suggest however that these be all wrinkly dust off the cobweb to have one final fling before a tranquil retirement would be a serious misapprehension,have_fling,2,"['CRD', 'AJ0']",TO0,NN2,CJS,AT0,1,26,0.010933333,I
she husband be have an on-off fling which he do not openly admit but take little trouble to disguise,have_fling,2,"['AT0', 'AJ0']",VBZ,NN1,DTQ,PNP,1,19,0.3922,I
not because he do not love she any more it be cos he be have this fling with this diane,have_fling,1,['DT0'],VBZ,PNP,PRP,DT0,1,20,0.796333333,I
she have a great future ahead of she and will undoubtedly improve as here serve and volley do,have_future,2,"['AT0', 'AJ0']",PNP,,AV0,PRF,1,18,0.2561,I
the canadian model have a curious corollary which be to have an unhappy future extend almost down to the present day,have_future,2,"['AT0', 'AJ0']",TO0,VBD,VVG,AV0,1,21,0.464933333,I
a simple education no country in the world have a future without it,have_future,1,['AT0'],NN1,AT0,PRP,PNP,1,13,0.305,I
a mutiny against the rowing establishment last summer by oarsman be coach by he be patch up in time for the world championship in yugoslavia but at the end of the championship spracklen declare that he have no future in british rowing,have_future,1,['AT0'],PNP,CJT,PRP,AJ0,1,42,0.416583333,I
some researcher think the stm may have a more distant future not just analyse molecule and microcircuit but help to make they,have_future,3,"['AT0', 'AV0', 'AJ0']",VM0,NN1,XX0,AV0,1,22,0.352416667,I
i have no future,have_future,1,['AT0'],PNP,,,,1,4,-0.1135,I
